zone_id,start_time,weekday,hour,hours_worked,earnings,distance_km,trips_completed,active_drivers,active_hour_wage,revenue_per_trip,fare_per_km,earnings_per_driver,log_hours,log_trips,log_active_drivers,log_active_hour_wage,log_revenue_per_trip,log_fare_per_km,log_earnings_per_driver,wage,log_wage
Financial District/South Beach,2024-05-11 07:00:00,5,7,5.249307777777777,508.85,158.7972001,20,14,96.93659079281778,25.442500000000003,3.2044015869269726,36.346428571428575,1.658096216058461,2.995732273553991,2.6390573296152584,4.57405706157948,3.2364210040839496,1.1645253605924346,3.593095948022682,3.2044015869269726,1.1645253605924346
Financial District/South Beach,2024-05-11 08:00:00,5,8,4.1945588888888885,425.61,126.7637164,24,21,101.46716526674902,17.73375,3.357506485980558,20.267142857142858,1.4337881827548036,3.1780538303479458,3.044522437723423,4.6197352512372,2.875469603644058,1.211198581202089,3.009000996268581,3.357506485980558,1.211198581202089
Financial District/South Beach,2024-05-11 09:00:00,5,9,7.6174502777777775,664.98,208.1305791,33,24,87.29692689165714,20.150909090909092,3.1950134520141735,27.7075,2.0304417044888856,3.4965075614664802,3.1780538303479458,4.469315260526731,3.0032494035491366,1.1615912981537093,3.321703134667671,3.1950134520141735,1.1615912981537093
Financial District/South Beach,2024-05-11 10:00:00,5,10,10.870217222222221,943.97,286.22115260000004,39,34,86.840030948988,24.204358974358975,3.2980441572018178,27.763823529411766,2.386026684578546,3.6635616461296463,3.5263605246161616,4.464067701400953,3.186532739849853,1.1933296131326188,3.3237338613633383,3.2980441572018178,1.1933296131326188
Financial District/South Beach,2024-05-11 11:00:00,5,11,7.889077222222222,743.24,233.9231843,30,24,94.21127199850652,24.77466666666667,3.177282329770337,30.968333333333334,2.0654791726595714,3.4011973816621555,3.1780538303479458,4.545539834704982,3.2098216257023986,1.1560262181221954,3.4329651770166083,3.177282329770337,1.1560262181221954
Financial District/South Beach,2024-05-11 12:00:00,5,12,5.260585833333334,429.35,122.000156,24,19,81.61638524733382,17.889583333333334,3.5192577950474098,22.597368421052632,1.6602423957062944,3.1780538303479458,2.9444389791664403,4.402030041412199,2.884218606770548,1.2582501136975301,3.1178334579520532,3.5192577950474098,1.2582501136975301
Financial District/South Beach,2024-05-11 13:00:00,5,13,8.481983611111112,747.52,233.5933337,33,26,88.13032826670097,22.652121212121212,3.2000913217841545,28.75076923076923,2.1379443388542474,3.4965075614664802,3.258096538021482,4.478816721905505,3.1202534992932724,1.1631793474560266,3.358664522738271,3.2000913217841545,1.1631793474560266
Financial District/South Beach,2024-05-11 14:00:00,5,14,5.725698333333334,473.07,121.5161039,33,25,82.6222361813799,14.335454545454546,3.89306425088568,18.9228,1.7449645216229372,3.4965075614664802,3.2188758248682006,4.4142788474626675,2.662735807619125,1.3591965727011368,2.940367544217404,3.89306425088568,1.3591965727011368
Financial District/South Beach,2024-05-11 15:00:00,5,15,6.954787777777778,590.64,163.3115062,35,28,84.9256683125885,16.87542857142857,3.6166465777167636,21.094285714285714,1.9394303112905575,3.5553480614894135,3.332204510175204,4.441776383460352,2.8258586332614963,1.285547236754572,3.049002184575706,3.6166465777167636,1.285547236754572
Financial District/South Beach,2024-05-11 16:00:00,5,16,7.030414444444444,704.47,212.01589859999999,34,27,100.2031964924464,20.71970588235294,3.3227225158670253,26.091481481481484,1.9502456577754057,3.5263605246161616,3.295836866004329,4.607200089264154,3.031085222423398,1.200784481783185,3.2616088810352304,3.3227225158670253,1.200784481783185
Financial District/South Beach,2024-05-11 17:00:00,5,17,9.130571388888889,856.66,257.3816003,46,34,93.82326291676343,18.62304347826087,3.3283653493547725,25.195882352941176,2.211628276316606,3.828641396489095,3.5263605246161616,4.541412830773101,2.9243997106006128,1.202481297388689,3.2266805824735463,3.3283653493547725,1.202481297388689
Financial District/South Beach,2024-05-11 18:00:00,5,18,8.391132222222222,873.09,355.7710535,38,30,104.04912911368471,22.97605263157895,2.4540782377057555,29.103,2.1271754603876913,3.6375861597263857,3.4011973816621555,4.64486318292172,3.1344524835830256,0.8977512274861957,3.3708412616472563,2.4540782377057555,0.8977512274861957
